arm,cycle,Q_cliff_abs_norm_bol,SOC0_to_mid_ratio_norm_bol,fade_ratio_Si_Gr,mechanism_state,score_H1,score_H2,LLI_vs_R_ratio,dchg_fit_dR,RCF
SJ900_dry,1,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,
SJ900_dry,2,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,3,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,4,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,5,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,6,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,7,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,8,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,9,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,10,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,11,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,12,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,13,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,14,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,15,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,16,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,17,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,18,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,19,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,20,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,21,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,22,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,23,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,24,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,25,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,26,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,27,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,28,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,29,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,30,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,31,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,32,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,33,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,34,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,35,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,36,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,37,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,38,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
SJ900_dry,39,,,,H1_dominant,0.11337067444191698,-0.5909090909090908,,,1.0
